Annotation Cluster 1	Enrichment Score: 10.663537889885678
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005576~extracellular region	33	16.923076923076923	3.7900086025547824E-20	FBGN0010388, FBGN0085249, FBGN0043575, FBGN0000279, FBGN0053265, FBGN0000277, FBGN0036232, FBGN0000276, FBGN0085353, FBGN0260455, FBGN0041579, FBGN0003863, FBGN0035325, FBGN0010381, FBGN0051077, FBGN0010385, FBGN0034328, FBGN0034407, FBGN0010357, FBGN0012042, FBGN0067903, FBGN0041581, FBGN0034580, FBGN0036363, FBGN0038126, FBGN0036362, FBGN0004240, FBGN0053983, FBGN0040687, FBGN0053542, FBGN0011554, FBGN0038530, FBGN0022700, FBGN0050293, FBGN0036203	50	512	4786	6.1694531249999995	1.0233023226897913E-18	1.0233023226897913E-18	3.1399570306276164E-17
GOTERM_MF_FAT	GO:0030246~carbohydrate binding	20	10.256410256410255	1.9519863507099644E-13	FBGN0036363, FBGN0053532, FBGN0034580, FBGN0039596, FBGN0036362, FBGN0085249, FBGN0043575, FBGN0053983, FBGN0053533, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0051956, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0038419, FBGN0051077	90	191	7918	9.212332751599767	2.791034070526166E-11	2.791034070526166E-11	2.311484337269576E-10
GOTERM_MF_FAT	GO:0008061~chitin binding	14	7.179487179487179	5.978539664741286E-11	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	100	7918	12.31688888888889	8.549312036087997E-9	4.274655962532847E-9	7.080308561668858E-8
GOTERM_MF_FAT	GO:0001871~pattern binding	15	7.6923076923076925	7.19833606182476E-11	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0043575, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	124	7918	10.642473118279568	1.0293613073031338E-8	3.4312043206696785E-9	8.524890793282225E-8
GOTERM_MF_FAT	GO:0030247~polysaccharide binding	15	7.6923076923076925	7.19833606182476E-11	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0043575, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	124	7918	10.642473118279568	1.0293613073031338E-8	3.4312043206696785E-9	8.524890793282225E-8
GOTERM_BP_FAT	GO:0006030~chitin metabolic process	14	7.179487179487179	3.119342313593558E-10	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	114	7937	10.830214424951267	8.016710062452859E-8	1.145244332700912E-8	4.0699260628329625E-7
GOTERM_BP_FAT	GO:0006022~aminoglycan metabolic process	15	7.6923076923076925	4.3771227270102864E-10	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0043575, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	142	7937	9.315727699530516	1.1249205755792246E-7	1.2499118184905456E-8	5.711000672370403E-7
GOTERM_BP_FAT	GO:0005976~polysaccharide metabolic process	15	7.6923076923076925	1.1839449731479983E-9	FBGN0034580, FBGN0036363, FBGN0036362, FBGN0085249, FBGN0043575, FBGN0053983, FBGN0053265, FBGN0036232, FBGN0085353, FBGN0040687, FBGN0035325, FBGN0022700, FBGN0036203, FBGN0050293, FBGN0051077	90	153	7937	8.645969498910674	3.042738040415216E-7	3.0427384611897423E-8	1.5447384371647388E-6
INTERPRO	IPR002557:Chitin binding protein, peritrophin-A	13	6.666666666666667	2.014589744832697E-9	FBGN0053265, FBGN0036232, FBGN0085353, FBGN0036363, FBGN0034580, FBGN0035325, FBGN0085249, FBGN0036362, FBGN0022700, FBGN0050293, FBGN0036203, FBGN0053983, FBGN0051077	133	92	10196	10.832625040863025	3.2233430313777234E-7	1.611671645029844E-7	2.4325928049684364E-6
SMART	SM00494:ChtBD2	13	6.666666666666667	3.102236337206216E-8	FBGN0053265, FBGN0036232, FBGN0085353, FBGN0036363, FBGN0034580, FBGN0035325, FBGN0085249, FBGN0036362, FBGN0022700, FBGN0050293, FBGN0036203, FBGN0053983, FBGN0051077	83	92	4824	8.212676794133055	1.4270277177708124E-6	1.4270277177708124E-6	2.932174050229719E-5
