Gene	logFC	FDR
FBgn0000079	5.77416671305833	1.60350957468721e-31
FBgn0053532	4.18098908215571	5.3975322309643e-28
FBgn0002578	5.12075008639679	6.156583724366e-27
FBgn0259140	1.81702766750923	3.24930680967121e-24
FBgn0265416	1.98917234414708	4.69841183609069e-24
FBgn0030929	6.73429853593428	4.88057132448445e-24
FBgn0000078	3.88903704542225	4.88057132448445e-24
FBgn0053346	6.93756451441709	6.44878533817593e-21
FBgn0033788	5.81292448856789	4.2680692584367e-20
FBgn0051004	3.79925380643522	2.63288139682844e-16
FBgn0039670	4.14262107015654	2.88752459115472e-16
FBgn0036066	3.61367968957976	2.88752459115472e-16
FBgn0085481	2.47649827767212	3.39616236048706e-16
FBgn0264775	4.41327959277927	4.50797669614989e-16
FBgn0031735	2.29848105928053	6.04687567801372e-16
FBgn0051901	3.04814045829192	1.50558464915258e-15
FBgn0259748	7.53726289588165	3.5991545409022e-15
FBgn0033789	6.00448951126882	6.86060987209433e-15
FBgn0035043	3.81438996152487	7.25530144386213e-15
FBgn0038756	3.4885840122184	1.38415275632268e-14
FBgn0036232	6.1117424213725	1.9783660539545e-14
FBgn0052279	4.5510027559709	3.46428811300516e-14
FBgn0015336	3.38082956230749	5.17589491586918e-14
FBgn0035313	3.6549967411011	6.86093719248816e-14
FBgn0029091	2.35664411217169	2.02868396784383e-13
FBgn0265186	4.16556625713507	2.51782701228687e-13
FBgn0038391	3.9518517270186	5.66278981087033e-13
FBgn0028518	3.65272915478245	6.19349648435918e-13
FBgn0035325	4.41167422942894	6.74964931442213e-13
FBgn0265185	4.08428873195396	9.40160779644173e-13
FBgn0040993	1.27003107947195	2.00823872833482e-12
FBgn0259201	1.27003105874478	2.00823872833482e-12
FBgn0038466	1.53196644055575	2.68835615757096e-12
FBgn0053265	6.34239644995847	3.77839273353244e-12
FBgn0085265	5.24724046545834	3.92288598132579e-12
FBgn0037065	3.48112043883918	4.86450154787913e-12
FBgn0033787	4.75016366942634	6.91927368060169e-12
FBgn0036362	3.97397069132274	8.14376613081382e-12
FBgn0038431	4.03413212022208	8.14376613081382e-12
FBgn0010385	1.79183076243702	5.2460975823527e-11
FBgn0053533	2.06929456688435	9.33099045022976e-11
FBgn0042102	4.33084250415123	1.06248603670253e-10
FBgn0038292	2.22623527163277	1.45335833377629e-10
FBgn0003863	7.3086106989685	1.45335833377629e-10
FBgn0036831	5.24080620919704	1.7004323121015e-10
FBgn0263235	5.82810537469814	2.32780611332309e-10
FBgn0030984	3.74797785838282	2.47998241347746e-10
FBgn0038353	4.62819092895927	2.63063811758026e-10
FBgn0034871	3.88088635143142	7.19858480414762e-10
FBgn0052633	3.77726801424566	1.10051080217371e-09
FBgn0036833	4.99006894552713	1.47239531548885e-09
FBgn0015919	1.37237368384047	1.85495997383817e-09
FBgn0034279	2.97829277958259	2.24470196130126e-09
FBgn0263747	2.06109517801027	2.54917120282655e-09
FBgn0025383	2.86305829836633	4.22145845216217e-09
FBgn0037236	3.08099867264082	4.71643756793975e-09
FBgn0036203	3.70162953880671	6.4961684177041e-09
FBgn0039107	2.63236046723151	7.93864784336902e-09
FBgn0085249	2.80358660536231	8.15115751383366e-09
FBgn0051956	3.67413362939624	9.80833647322113e-09
FBgn0032663	3.36430723516474	1.07188348749357e-08
FBgn0034563	3.66547146675079	2.03724074150193e-08
FBgn0030928	3.51013378613544	2.03724074150193e-08
FBgn0053983	3.64113661489704	2.87619209867804e-08
FBgn0037563	4.0652153578565	4.81840055748358e-08
FBgn0036419	3.65514799496219	4.88544995472802e-08
FBgn0034511	1.2963158277452	5.17147990619707e-08
FBgn0040687	3.13991133498117	5.35119681797976e-08
FBgn0032435	3.69262388365777	5.37747292882286e-08
FBgn0042103	4.83175605706764	5.77920744995171e-08
FBgn0085353	3.17777477337975	9.65212049053461e-08
FBgn0004228	3.53189501526792	1.01963206874888e-07
FBgn0004842	3.41684125744205	1.24880686442554e-07
FBgn0052283	5.41641623990019	1.43643303697517e-07
FBgn0266431	3.52866094982085	1.62486761429843e-07
FBgn0032116	1.67342947278736	1.92517465957285e-07
FBgn0046302	1.84292394290767	1.9275432673361e-07
FBgn0029827	4.70026212032173	2.22291062903306e-07
FBgn0262608	4.22329987207555	2.3701072503907e-07
FBgn0043575	1.68040839412186	2.49248715426398e-07
FBgn0034580	3.67877421249637	2.89446404924819e-07
FBgn0028562	1.84553580043895	2.94473492375634e-07
FBgn0265577	2.18649536479223	4.51740352842552e-07
FBgn0032082	1.84958874226978	5.45017132305087e-07
FBgn0042105	4.66779813762501	6.40484559275895e-07
FBgn0034295	7.05547825493664	8.38715019849717e-07
FBgn0051821	2.66020860059106	1.03825659973899e-06
FBgn0037517	4.53544121722006	1.63189343065806e-06
FBgn0015904	1.15490783272903	1.86594534813742e-06
FBgn0032665	3.40685601551826	1.89954939683297e-06
FBgn0033774	7.82566702888113	2.04748618666469e-06
FBgn0262580	3.25650732480675	2.39748071887261e-06
FBgn0261989	1.25022897009621	2.49408137313758e-06
FBgn0039591	2.83776984315461	3.1456336605961e-06
FBgn0033834	1.61867010805131	3.23940067887025e-06
FBgn0262881	1.28281006758715	3.29749226687587e-06
FBgn0022700	4.2626622601984	4.40611730585e-06
FBgn0033221	1.40010842458602	6.25761225750089e-06
FBgn0263234	3.51599234572403	6.25761225750089e-06
FBgn0052557	4.4243092689927	6.80895259648583e-06
FBgn0028381	2.55405832115628	7.2088290602807e-06
FBgn0041579	1.5651309509144	8.29046523096266e-06
FBgn0034296	5.68058860870387	8.65656943046602e-06
FBgn0036766	4.34185390750415	9.12741447608647e-06
FBgn0035665	4.52787448497959	1.02343877789199e-05
FBgn0010357	6.39743162847466	1.11829787956171e-05
FBgn0051106	2.50889547436546	1.11829787956171e-05
FBgn0262569	1.11118555051587	1.68736093911854e-05
FBgn0036320	5.36446143711673	1.69322539594934e-05
FBgn0040069	3.29150101648982	1.71002464235307e-05
FBgn0085480	2.16211260413798	1.82177354427477e-05
FBgn0001225	1.21771969734639	1.82780705580677e-05
FBgn0032235	1.64426382298508	2.06608903860833e-05
FBgn0001224	1.07732607772937	2.45218357079605e-05
FBgn0261631	3.72542090455138	2.54163676042217e-05
FBgn0033124	2.7029149435578	2.75844836623419e-05
FBgn0260230	2.91932770767775	2.90050580315595e-05
FBgn0051358	2.9193506046287	2.90050580315595e-05
FBgn0260231	2.91933881698917	2.90050580315595e-05
FBgn0051077	3.77647169642339	3.36175325370558e-05
FBgn0264488	2.36957698832022	3.60658613849247e-05
FBgn0040363	3.46042709340779	3.78901968429807e-05
FBgn0260761	2.68987205081561	4.23775109863594e-05
FBgn0260762	2.68986990733194	4.23775109863594e-05
FBgn0033301	3.59270261759815	4.60502766448712e-05
FBgn0262028	3.42375952429247	4.64281506557188e-05
FBgn0010381	1.83539997163081	4.72458819010911e-05
FBgn0032049	6.53807439132038	4.85057947290958e-05
FBgn0038126	1.92279448003272	5.13695552697855e-05
FBgn0034289	4.27171637283375	5.41968726954799e-05
FBgn0264915	1.35928971857063	5.86664628666007e-05
FBgn0028519	2.13578814669257	6.10615154769622e-05
FBgn0263748	2.72196484704163	6.80529162961359e-05
FBgn0029948	3.79106139979998	7.08422462733052e-05
FBgn0058198	1.80046615046245	7.57788843493217e-05
FBgn0050293	2.58900689722099	8.38990457943418e-05
FBgn0010388	2.24717165071545	8.40248855777684e-05
FBgn0002570	3.39596374665031	0.000102235857593241
FBgn0032839	6.45922768706865	0.000102235857593241
FBgn0035360	1.31292240100897	0.00010598367889206
FBgn0040060	5.20813732394575	0.00010598367889206
FBgn0053099	1.1647805267905	0.000107621547949513
FBgn0033027	2.10275914772737	0.00013339568317637
FBgn0035663	4.56309804261553	0.000150299661370044
FBgn0041581	2.04784161680854	0.000151504622062359
FBgn0030569	2.92279768994533	0.000156405349168287
FBgn0024361	1.2190327876962	0.000159787480370398
FBgn0004431	1.26552154749598	0.000242871092998356
FBgn0012042	1.84445082927563	0.000244743715524962
FBgn0014454	2.34197855286561	0.000302797900641364
FBgn0054044	2.20654711495903	0.000421852897798401
FBgn0036767	5.91297544919178	0.000509159826167808
FBgn0050360	3.18149096155775	0.000522152871290045
FBgn0039342	5.66681197740574	0.000603044773906914
FBgn0264550	4.14914071140806	0.000612891720714536
FBgn0262007	1.99107519617551	0.00066903837396144
FBgn0033115	1.07718196894718	0.000686906256334404
FBgn0085358	6.67872311203031	0.000701552514425344
FBgn0000279	1.79781159292054	0.000708061007794609
FBgn0020880	3.12472675345021	0.000741412566064805
FBgn0266400	4.26153599088059	0.000799346979804454
FBgn0034407	1.56693639872563	0.000844256584891941
FBgn0267740	1.03282866628856	0.00104030482133135
FBgn0054045	1.09573519050533	0.00109758607058957
FBgn0266405	1.75014105672142	0.00114686499911384
FBgn0038530	2.29151746668586	0.00116841728927237
FBgn0041156	2.0195171964155	0.00139564645497875
FBgn0039310	3.22993164736163	0.00155833736552521
FBgn0031034	5.38427680029499	0.00165362871189876
FBgn0260455	2.41992388648275	0.00172228470268645
FBgn0067903	2.41992387648158	0.00172228470268645
FBgn0053542	2.04047858487423	0.00175117200405508
FBgn0038419	1.04074906429763	0.00185289062186983
FBgn0050160	2.97051035730435	0.00193918052830826
FBgn0261682	5.23947296662557	0.00202569542394964
FBgn0266001	1.01931426785379	0.00203327712620164
FBgn0039596	3.36099863211361	0.00221117117184693
FBgn0038531	2.82651888660722	0.00225624903655662
FBgn0036738	4.32808119768119	0.00308856802169631
FBgn0052185	2.15160119209871	0.00319494869528891
FBgn0033541	1.98007863398063	0.00341371897968411
FBgn0034759	1.24125608420827	0.00350210685218526
FBgn0034758	1.24125788604976	0.00350210685218526
FBgn0260767	1.24125400370628	0.00350210685218526
FBgn0000277	1.93183814806542	0.00398510590998573
FBgn0054026	2.78761661789974	0.00401594723806162
FBgn0036783	4.55118853688246	0.00412747648161961
FBgn0039480	1.71658978948894	0.00418854846378603
FBgn0034197	1.34101243028012	0.00419990433057092
FBgn0032209	1.14828903961454	0.00432120340566807
FBgn0050334	1.8097986233204	0.00475464751195068
