Ama	FBGN0000071
Amy-d	FBGN0000078
Amy-p	FBGN0000079
CecA1	FBGN0000276
CecA2	FBGN0000277
CecC	FBGN0000279
Mal-A2	FBGN0002569
Mal-A1	FBGN0002570
Kaz-m1	FBGN0002578
alphaTry	FBGN0003863
DptA	FBGN0004240
LysX	FBGN0004431
betaTry	FBGN0010357
Drs	FBGN0010381
Def	FBGN0010385
Dro	FBGN0010388
etaTry	FBGN0011554
AttA	FBGN0012042
Acp1	FBGN0014454
Cht4	FBGN0022700
Jon74E	FBGN0023197
CG14780	FBGN0025383
Decay	FBGN0028381
CG15255	FBGN0028950
CG6048	FBGN0029827
CG8952	FBGN0030688
Bace	FBGN0032049
SPH93	FBGN0032638
Mal-A7	FBGN0033296
CG12374	FBGN0033774
IM23	FBGN0034328
DptB	FBGN0034407
GNBP-like3	FBGN0034511
Cht8	FBGN0034580
CG13806	FBGN0035325
CG6462	FBGN0035663
Jon65Aiii	FBGN0035665
Muc68D	FBGN0036203
CG14125	FBGN0036232
CG10725	FBGN0036362
CG10140	FBGN0036363
CG7542	FBGN0036738
Skp2	FBGN0037236
CG8483	FBGN0038126
CG14879	FBGN0038419
CG10405	FBGN0038431
AttD	FBGN0038530
CG6688	FBGN0039038
CG10000	FBGN0039596
yip7	FBGN0040060
vanin-like	FBGN0040069
CG14645	FBGN0040687
AttC	FBGN0041579
AttB	FBGN0041581
PGRP-SC2	FBGN0043575
Cht12	FBGN0050293
Mal-A6	FBGN0050360
mesh	FBGN0051004
CG31077	FBGN0051077
CG31821	FBGN0051821
CG31823	FBGN0051823
pgant4	FBGN0051956
Drsl2	FBGN0052279
Drsl3	FBGN0052283
Muc68E	FBGN0053265
lectin-37Da	FBGN0053532
lectin-37Db	FBGN0053533
upd3	FBGN0053542
obst-H	FBGN0053983
IM18	FBGN0067903
CG34220	FBGN0085249
CG34324	FBGN0085353
Jon65Aiv	FBGN0250815
CG42255	FBGN0259140
CG42335	FBGN0259237
CG10332	FBGN0260455
